date,company,sector,role,role_type,channel,status,contact_person,fit_rating,notes,cv_file,cover_letter_file,source
2026-09-07,me&u,Hospitality tech / Ordering & payments,AI-Native Product Manager,Product Manager,HiBob,materials_ready,,82,"Fit evaluated and tailored CV/cover letter prepared on 2026-09-07. Strong fit for AI-native product ownership, commercial judgement, payments/accounting adjacency, billing workflow automation, experimentation, technical PM fluency, customer discovery, GTM alignment, Sydney/full Australian work rights. Watch-outs: direct hospitality domain depth is lighter than AI/commercial/payments depth; payments experience should be positioned as adjacent money-movement, billing, banking and accounting workflow experience rather than deep payments-specialist ownership. Salary not listed; product team gathers weekly in Sydney/Melbourne offices.",cv/main_meu.pdf,cover_letters/cover_meu_ai_native_product_manager.pdf,https://meu.careers.hibob.com/jobs/8626b555-1b85-4219-b708-4aaa4663e2d6
2026-09-07,Mastercard,Payments / Digital & Agentic,"Manager, Technical Product Enablement and Specialist Sales (Digital and Agentic) - R-279779",Product Enablement / Specialist Sales,Direct recruiter,interview,Aisha Yatim,,"Email from Aisha Yatim on 2026-09-07: recruiter screen requested for Manager, Technical Product Enablement and Specialist Sales (Digital and Agentic), R-279779. User replied confirming Tuesday 2026-09-08 at 4:30pm Sydney; Teams invite received.",,,
2026-09-07,Mastercard,Payments / Product Management,"Specialist, Product Management",Product Manager,Workday,applied_active,,74,"Workday confirmation from Mastercard People Services on 2026-09-07: application received for Specialist, Product Management. Tailored CV and cover letter prepared. Strengths: product strategy, roadmap ownership, opportunity assessment, partner/stakeholder work, technical requirements, analytics/BI, finance workflow automation, payments and banking adjacency, Sydney/full work rights. Watch-outs: role appears lower-level at 1-3 years and the original careers page had shown no longer available before Workday confirmation.",cv/main_mastercard.pdf,cover_letters/cover_mastercard_specialist_product_management.pdf,https://careers.mastercard.com/us/en/job/R-287290/Specialist-Product-Management
2026-09-06,IAG,Insurance / AI,"Manager, Data & AI Activation (50293)",Manager / AI role,Company careers,rejected,,76,"Email from IAG on 2026-09-06: application for Manager, Data & AI Activation 50293 was not progressed. Prior tracker/list fit signal was AI activation and strategy adjacency, with caution that the role may be less product-owned.",,,https://au.linkedin.com/jobs/view/manager-data-ai-activation-at-iag-4456441138
2026-09-05,Gumtree Group,Marketplace / Automotive classifieds,Senior Product Manager,Senior Product Manager,JobAdder,applied_active,,,"Email from Gumtree Group / JobAdder on 2026-09-05: application received for Senior Product Manager at Gumtree Group, home to Gumtree, CarsGuide and Autotrader.",,,
2026-09-05,Zepto,Fintech / Payments,Technical Product Manager,Technical Product Manager,BambooHR,applied_active,,,"Email from Zepto / BambooHR on 2026-09-05: application received for Technical Product Manager.",,,
2026-09-04,UpGuard,Cybersecurity / Risk management,Senior Product Manager,Senior Product Manager,Ashby / LinkedIn,applied_active,Shellie Stewart,84,"Ashby confirmation received on 2026-09-04: application received; Shellie Stewart, Talent Acquisition Partner, will review. Hiring process usually 4-5 rounds and may include Talent Acquisition, hiring manager, wider team, take-home/live assessment, and senior leadership. Tailored CV and cover letter prepared. Strengths: senior SaaS product ownership, GenAI and agentic workflows, data-driven roadmap judgement, security-feature product work for Crux and Periscope, compliance workflow exposure through I2C and Periscope, API/integration foundation, cross-functional engineering/design/data science leadership, Sydney/full Australian work rights. Watch-outs: salary not listed; police history and reference checks required; cybersecurity/GRC depth should be framed through confirmed security/compliance product exposure.",cv/main_upguard.pdf,cover_letters/cover_upguard_senior_product_manager.pdf,https://jobs.ashbyhq.com/upguard/a8d69371-2354-47a1-addb-bf754bca8a6b?utm_source=LinkedInApplied
2026-09-04,Plexus Resource Resolutions,Recruitment / Product,Product Manager,Product Manager,LinkedIn InMail,interview,Helena Le Jeune,,"LinkedIn InMail from Helena Le Jeune on 2026-09-04: thanks for applying for the Product Manager position; profile looks relevant and she wants to book a 15-minute chat via Calendly. End-client/company not visible in email.",,,https://www.linkedin.com/messaging/thread/2-MWQzODAyZGMtYTRlMy00NmQ5LTg0MTctZjgzYTlhZjU3Y2UwXzEwMA==/
2026-09-04,CommBank,Banking / Product,Product Lead - Product Development (REQ263588),Product Lead,Workday,rejected,,,"Email from CBA HR on 2026-09-04: application not moving forward after review; role requirements and other candidates were stronger match.",,,
2026-09-02,UNSW,Education / IT Services,Product Manager - IT Services,Product Manager,PageUp,applied_active,,,"Email confirmation from UNSW Sydney on 2026-09-02: application received for Product Manager - IT Services. Candidate portal available for progress; selection may include application assessment, competency-based interviews, proof of identity, work-rights check, references, and possible WWCC/medical/police check depending on role.",,,
2026-09-01,Updoc,Healthtech,Role not specified in assessment email,Unknown,Jotform / TestGorilla,assessment_pending,Cliffe,,"Email from Updoc on 2026-09-01: application received and short TestGorilla skills assessment requested before interview progression. Role title not visible in email.",,,
2026-09-03,CommBank,Banking / Business Banking,Product Lead - CommBiz Mobile Cosmos (REQ263618),Product Lead,Workday,applied_active,,87,"Email confirmation from CBA HR on 2026-09-03: application received and review pending. Tailored CV and cover letter prepared for CommBiz Mobile. Strengths: mobile product and iOS architecture depth, senior product strategy, discovery, roadmap ownership, experimentation, AI/automation, finance workflow exposure, banking API adjacency, cross-functional leadership, and Sydney/full work rights. Watch-outs: no direct transaction banking or treasury team ownership stated; salary not listed.",cv/main_commbank_commbiz_mobile.pdf,cover_letters/cover_commbank_product_lead_commbiz_mobile.pdf,https://cba.wd3.myworkdayjobs.com/CommBank_Careers/job/Sydney-CBD-Area/Product-Lead---CommBiz-Mobile-Cosmos_REQ263618-1?source=LinkedIn
2026-09-03,Sharp & Carter,Recruitment / Digital,Group Product Manager - Digital,Group Product Manager,JobAdder,rejected_role_filled,Michael Barry,,"Email from Michael Barry on 2026-09-03: position filled via internal referral; external applicants paused. Offered to provide feedback if requested.",,,
2026-09-03,Fortiro,Fintech / Fraud & identity,Product Manager - Design & Delivery,Product Manager,Teamtailor,applied_active,Pavi Iyer,,"Email confirmation on 2026-09-03: application received and Fortiro will review.",,,
2026-09-03,Fortiro,Fintech / Fraud & identity,Product Manager - Data & Platform,Product Manager,Teamtailor,applied_active,Pavi Iyer,,"Email confirmation on 2026-09-03: application received and Fortiro will review.",,,
2026-09-03,The Onset,Recruitment / SaaS,Group Product Manager - Global SaaS,Group Product Manager,LinkedIn,applied_active,,,"LinkedIn confirmation on 2026-09-03: application sent to The Onset. Role identified from same-day LinkedIn job alert.",,,
2026-09-03,Talent Insights Group,Recruitment,Role not specified in LinkedIn confirmation,Unknown,LinkedIn,applied_active,,,"LinkedIn confirmation on 2026-09-03: application sent to Talent Insights Group; role title not visible in email snippet.",,,
2026-09-03,Weel,Fintech / Spend management,Technical Product Manager,Technical Product Manager,Teamtailor,rejected,,,"Email from Weel on 2026-09-03: application not progressed to interview after strong applicant response.",,,
2026-09-03,DreamStoneHR,Recruitment,Product Manager - SYD or MELB hybrid,Product Manager,SEEK,closed_after_application,,,"SEEK email on 2026-09-03: job expired and no longer taking applications.",,,
2026-09-02,REA Group,Property tech,Senior Product Manager,Senior Product Manager,Workday,closed_after_application,,,"Email from REA Group on 2026-09-02: no longer recruiting for the Senior Product Manager role.",,,
2026-09-02,Corto Pty Ltd,B2B SaaS / Growth,Product Manager - Growth,Product Manager,Workable,applied_active,,,"Workable confirmation on 2026-09-02: application submitted successfully; follow-up email says applications are under review.",,,
