claim,evidence,source,safe_wording,avoid_wording
Australian work rights,"Australian Permanent Resident with full Australian work rights","CODEX.md; candidate profile","Australian Permanent Resident with full Australian work rights","requires sponsorship; visa-dependent"
Senior product leadership,"Senior Product Manager at McKinsey and Fractal with 11+ years across product and engineering","CODEX.md; CV","senior product leader with 11+ years across product management, AI platforms, and software engineering","executive product leader; Head of Product experience"
GenAI product strategy,"Owns GenAI and strategic product roadmaps for McKinsey Periscope","CODEX.md; CV","owned GenAI and strategic product roadmaps for enterprise pricing workflows","built every underlying model personally"
Cross-functional leadership,"Leads 20+ person team across engineering, data science, and design","CODEX.md; CV","led a 20+ cross-functional team across engineering, data science, and design","managed a large engineering organisation"
AI pricing impact,"AI pricing decisioning improved accuracy by 9-12% and return-on-sales by 2-7%","CODEX.md; CV","directed AI pricing decisioning that improved pricing accuracy and commercial outcomes","guaranteed pricing uplift for all companies"
Agentic workflow impact,"Agentic workflows reduced retail pricing time-to-action from hours to seconds","CODEX.md; CV","shipped agentic workflows that reduced operational time-to-action from hours to seconds","fully autonomous pricing without human review"
Delivery improvement,"GenAI tooling reduced operational overhead by 20% and accelerated release cadence by 60%","CODEX.md; CV","used GenAI tooling to reduce delivery overhead and speed up release cadence","replaced engineering teams with AI"
Enterprise AI portfolio,"Led platform strategy for enterprise AI engines across CPG, Finance, and Healthcare","CODEX.md; CV","led enterprise AI platform strategy across CPG, finance, and healthcare contexts","deep specialist in all regulated healthcare/finance domains"
Billing workflow automation,"Cogentiq I2C automated 60% of billing workflows, processed 1M+ invoices, and delivered $5M annualised cash-flow uplift","CODEX.md; CV","launched an AI collections platform automating billing workflows at scale","owned Stripe-specific infrastructure unless user confirms"
Accounting workflow exposure,"User confirmed accounting workflows were part of Cogentiq I2C, alongside billing workflow automation, invoice processing, and cash-flow uplift","user chat on Xero application, 2026-08-27","has accounting and finance workflow exposure through Cogentiq I2C, including billing automation, invoice processing, and cash-flow improvement","chartered accountant; accountant; owner of Xero-specific accounting software"
Experimentation product,"TrialRun scaled to 8,000+ experiments per month with 65% pilot-to-paid conversion and 14% average sales uplift","CODEX.md; CV","scaled an enterprise experimentation product to high-volume client usage and measurable sales uplift","formal data scientist or statistician"
BI product,"Crux reduced insight generation from days to minutes and removed manual data-science pipelines","CODEX.md; CV","built AI-powered BI capabilities that compressed insight generation from days to minutes","invented proprietary BI algorithms"
Cuddle AI growth,"Cuddle AI roadmap drove 57% revenue growth and lifted MAU engagement by 85%","CODEX.md; CV","managed an AI BI roadmap linked to revenue growth and engagement gains","single-handedly owned all sales results"
iOS architecture,"Owned native iOS architecture, engineering execution, Agile cycles, and mobile performance","CODEX.md; CV","brings hands-on technical credibility from iOS architecture and engineering leadership","current hands-on backend/platform engineer"
Consumer scale,"Toppr app scaled to 2M+ DAU and 9M+ MAU with about 98% crash-free rate","CODEX.md; CV","has operated consumer mobile products at multi-million-user scale","owned all Toppr product strategy"
Travel product foundation,"Built Ithaka foundational iOS app, established mobile engineering team, scaled across 20+ countries","CODEX.md; CV","built and scaled travel/mobile product foundations across 20+ countries","owned all company commercial strategy at Ithaka"
Banking API adjacency,"Built/maintained iOS applications for enterprise clients including HDFC Bank while at Wow Labz","CODEX.md; user-confirmed application note","can discuss banking API and mobile integration experience for HDFC Bank work","core banking platform owner unless user confirms"
Payments adjacency,"User confirmed responsibility for payment infrastructure at Ithaka and Toppr and banking infrastructure during Cogentiq I2C","user chat on Everlab cover letter, 2026-08-26","has payment and banking infrastructure exposure across Ithaka, Toppr, HDFC, and I2C contexts","Stripe specialist unless separately verified"
Technical-commercial bridge,"LinkedIn reference notes strong product thinking with technical credibility across engineering, data science, design, business stakeholders, and client-facing teams","CODEX.md LinkedIn references","combines product thinking with technical credibility across cross-functional teams","formal psychometric/personality claim"
Senior recommendation,"LinkedIn reference recommends Aditya for senior product leadership, GenAI, enterprise SaaS, platform products, strategy, and transformation","CODEX.md LinkedIn references","reference-backed fit for senior product, GenAI, enterprise SaaS, platform, strategy, and transformation roles","named referee contact details beyond what user has approved"
AI communication,"LinkedIn reference notes product clarity, strategic thinking, and ability to make complex GenAI topics accessible","CODEX.md LinkedIn references","communicates complex GenAI and product strategy clearly to varied audiences","public speaker/keynote claim unless supported"
Compliance workflow exposure,"User confirmed compliance experience through Cogentiq I2C and Periscope","user chat on UpGuard application, 2026-09-04","has compliance workflow exposure through I2C and Periscope","compliance officer; auditor; legal compliance owner"
Security feature product work,"User confirmed building various security features for Crux and Periscope","user chat on UpGuard application, 2026-09-04","built security features for Crux and Periscope","cybersecurity specialist; security engineer; owner of all security architecture"
